SBO PN,Name of Material,Specification and Type,Description,Manufacturer PN,Manufacturer,Quantity,PCB Footprint,Part Reference,State,Part number
CE270460170,陶瓷电容,C0603 100p 5% 50V C0G   ,C0603 100p 5% 50V C0G   ,GCM1885C1H101JA16D,Murata,1,C0603,C3,A1,CE270400020
CE270460207,陶瓷电容,C  GCM0335C1H1R5CA16D,C0603 1.5p  10% 50V C0G  -55~125℃,GCM0335C1H1R5CA16D,murata,4,C0603,C30 C31 C57 C58,B,CE270460207
CE270460209,陶瓷电容,C1206 22u 20% 16V X6S,C1206 22u 20% 16V X6S,GRT31CC81C226ME01L,Murata,1,C1206,C100,B,CE270400129
CE270460211,陶瓷电容,C1206 10u 10% 25V X7S ,C1206 10u 10% 25V X7S ,GCM31CC71E106KA03L,Murata,1,C1206,C4,A1,CE270400105
CE270460213,陶瓷电容,C0603 100n  10% 50V X7R,C0603 100n  10% 50V X7R,GCM188R71H104KA57D,Murata,56,C0603,C1 C5 C6 C8 C14 C16 C32 C34 C36 C38 C41 C43 C47 C48 C50 C52 C54 C55 C59 C61 C62 C64 C66 C68 C70 C72 C74 C76 C78 C80 C82 C84 C86 C88 C90 C92 C94 C96 C98 C172 C173 C177 C180 C181 C182 C183 C185 C186 C188 C189 C192 C193 C196 C197 C200 C201,A1,CE270400057
CE270500017,变压器,T ETC1-1T-2TR,T 0.1~200MH  1：1     MSL：1,ETC1-1T-2TR,Macom,1,SM-22,T2,A1,CE270500017
CE270500023,电感,L LQH5BPB100MT0L,L 5x510uH 1.6A,LQH5BPB100MT0L,Murata Manufacturing Co Ltd,1,L4X4,L1,A1,CE270500023
CE270500025,电感,L XAL5030-222MEB,L 55x53 2.2uH 9.2A ,XAL5030-222MEB,CoilCraft,4,dfn528x548x310-2n,L6 L7 L9 L10,B,CE270500025
CE270500028,磁珠,B BLM21PG220SN1D,B0805 22R/100MHz -55~125℃,BLM21PG220SN1D,muRata,13,R0805,L2 L3 L4 L5 L8 L11 L12 L13 L14 L15 L16 L17 L18,B,CE270500028
CE270500310,磁珠,B MMZ1608D121CTDH5,B0603  120R/100MHz ,MMZ1608D121CTDH5,TDK,2,R0603,L19 L20,A1,CE270500004
CE270600001,电阻,R0603 0R max:50mR 50V ,R0603 0R max:50mR 50V ,MCR03EZPJ000,ROHM,3,R0603,R17 R40 R67,A1,CE270600001
CE270600007,电阻,R0603 33R 1% 50V ,R0603 33R 1% 50V ,MCR03EZPFX33R0,ROHM,8,R0603,R43 R46 R48 R50 R57 R65 R66 R68,A1,CE270600007
CE270600045,电阻,R0603 2K7R 1% 0.1w -55C~155C,R0603 2K7R 1% 0.1w -55C~155C,CRCW06032K70FKEA,vishay,1,R0603,R10,A2,CE270600045
CE270600061,电阻,R0603 12K 1% 50V,R0603 12K 1% 50V,MCR03EZPFX1202,ROHM,2,R0603,R9 R28,A1,CE270600061
CE270601019,电阻,R0603 1K 1% 50V ,R0603 1K 1% 50V ,MCR03EZPFX1001,ROHM,3,R0603,R62 R63 R64,B,CE270601019
CE270660025,电阻,R0603 22R 1% 0.1w -55C~155C,R0603 22R 1% 0.1w -55C~155C,AC0603FR-0722RL,YAGEO,4,R0603,R85 R86 R87 R91,A1,CE270600006
CE270660054,电阻,R0603 49R9 1% 50V,R0603 49R9 1% 50V,AC0603FR-0749R9,YAGEO,1,R0603,R55,A2,CE270600171
CE270660075,电阻,R0603 10K 1% 50V ,R0603 10K 1% 50V ,MCR03EZPFX1002,ROHM,10,R0603,R5 R19 R20 R22 R26 R51 R69 R70 R75 R88,A1,CE270600253
CE270660076,电阻,R0603 100K 1% 50V ,R0603 100K 1% 50V ,AC0603FR-07100KL,YAGEO,4,R0603,R4 R18 R21 R25,B,CE270601003
CE270660082,电阻,R0603 300K 1% 50V  ,R0603 300K 1% 50V  ,AC0603FR-07300KL,YAGEO,2,R0603,R31 R36,B,CE270601041
CE270660085,电阻,R0603 4K7 1% 50V ,R0603 4K7 1% 50V ,MCR03EZPFX4701,ROHM,8,R0603,R13 R59 R60 R71 R72 R73 R74 R76,B,CE270601052
CE270660086,电阻,R0603 47K 1% 50V ,R0603 47K 1% 50V ,MCR03EZPFX4702,ROHM,4,R0603,R6 R7 R12 R38,B,CE270601055
CE270660087,电阻,R0603 5.1K 1% 50V  ,R0603 5.1K 1% 50V  ,MCR03EZPFX5101,ROHM,4,R0603,R41 R42 R52 R53,B,CE270601058
CE270660092,电阻,R0603 200R 1% 75V ,R0603 200R 1% 75V ,RC0603FR-07200RL,Yageo,2,R0603,R11 R89,B,CE270601124
CE270660093,电阻,R0603 6.04K 1% 50V  ,R0603 6.04K 1% 50V  ,AC0603FR-076K04L,Yageo,1,R0603,R90,B,CE270601125
CE270660094,电阻,R0402 169K 1% 50V ,R0402 169K 1% 50V ,CRCW0402169KFKED,Vishay,3,R0402,R23 R27 R30,B,CE270601126
CE270660098,电阻,R0603 330R 1% 50V ,R0603 330R 1% 50V ,AC0603FR-07330RL,YAGEO,1,R0603,R61,B,CE270601130
CE270660099,电阻,R0603 270K 1% 50V ,R0603 270K 1% 50V ,RC0603FR-07270KL,YAGEO,2,R0603,R24 R32,B,CE270601131
CE270660109,电阻,R0603 100R 1% 0.1w -55C~155C,R0603 100R 1% 0.1w -55C~155C,AC0603FR-07100RL,YAGEO,5,R0603,R79 R80 R81 R82 R83,A1,CE270600011
